"LANG","complexityoflanguages","costoflanguages","syn_index","type","minimal"
"fl1",19,2.52365930599369,8,"Haspel-ok",1.52755086765926
"fl10",18,2.57676615847112,5,"Haspel-ok",1.56850598441553
"fl100",13,2.68912584735476,7,"Haspel-ok",1.59415642875125
"fl1000",8,2.90528762347472,2,"Haspel-ok",1.61312791897906
"fl1001",14,3.10961388960871,12,"Haspel-ok",2.03705957021885
"fl1002",2,4.70588235294118,0,"Haspel-ok",0.933119049690862
"fl1003",14,2.14947830370337,7,"Haspel-ok",1.07709439410147
"fl1004",8,3.05888350751976,3,"Haspel-ok",1.76642307040635
"fl1005",15,1.85916802231002,4,"Haspel-ok",0.805983029952863
"fl1006",3,6.07287449392713,0,"Haspel-ok",2.2094547441294
"fl1007",12,2.20885998281998,6,"Haspel-ok",1.08800667692539
"fl1008",11,2.01072386058981,1,"Haspel-ok",0.859426860030983
"fl1009",3,6.07287449392713,0,"Haspel-ok",2.2094547441294
"fl101",5,9.11854103343465,0,"Haspel-ok",4.50685809125507
"fl1010",5,3.38409475465313,4,"Haspel-ok",1.76601234984005
"fl1011",12,2.66533399966683,6,"Haspel-ok",1.54432113680299
"fl1012",10,2.30739648762979,6,"Haspel-ok",1.11868419194922
"fl1013",2,5.20156046814044,0,"Haspel-ok",1.0599878800878
"fl1014",7,4.3525571273123,7,"Haspel-ok",2.98059545891305
"fl1015",21,2.7871111592834,13,"Haspel-ok",1.8116686171037
"fl1016",8,3.51734245236932,5,"Haspel-ok",2.22388707318235
"fl1017",8,2.96418279127213,6,"Haspel-ok",1.67190124790439
"fl1018",15,3.89948006932409,5,"Haspel-ok",2.84618658880757
"fl1019",4,3.42759211653813,1,"Haspel-ok",1.57073927498647
"fl102",3,6.07287449392713,0,"Haspel-ok",2.2094547441294
"fl1020",8,2.20264317180617,2,"Haspel-ok",0.911952419054625
"fl1021",13,1.97618694728521,6,"Haspel-ok",0.881672199875899
"fl1022",11,2.79481406723081,7,"Haspel-ok",1.64284793486335
"fl1023",15,3.43200343200343,7,"Haspel-ok",2.37871837319276
"fl1024",3,4.84261501210654,0,"Haspel-ok",1.92702511229442
"fl1025",12,2.91665653938702,8,"Haspel-ok",1.79559045134218
"fl1026",13,2.6183722452542,7,"Haspel-ok",1.52342893445547
"fl1027",5,3.2,1,"Haspel-ok",1.58492986739225
"fl1028",13,2.99906279287723,6,"Haspel-ok",1.90400187117061
"fl1029",3,6.5359477124183,1,"Haspel-ok",2.27842840635814
"fl103",20,2.43247352151219,8,"Haspel-ok",1.44774544472769
"fl1030",7,3.27510917030568,2,"Haspel-ok",1.90727755840687
"fl1031",4,3.01091456529921,1,"Haspel-ok",1.17322220717457
"fl1032",3,2.9218407596786,0,"Haspel-ok",0.705748874457869
"fl1033",10,2.07576543850545,1,"Haspel-ok",0.887245740009179
"fl1034",13,2.67916945746819,2,"Haspel-ok",1.58420357176734
"fl1035",8,1.65220983064849,2,"Haspel-ok",0.362629331151889
"fl1036",17,3.27138897723659,10,"Haspel-ok",2.24988057369049
