"LANG","complexityoflanguages","costoflanguages","syn_index","type"
"fl1",19,2.52365930599369,8,"Haspel-ok"
"fl10",18,2.57676615847112,5,"Haspel-ok"
"fl100",13,2.68912584735476,7,"Haspel-ok"
"fl1000",8,2.90528762347472,2,"Haspel-ok"
"fl10000",15,3.90455531453362,9,"Not Haspel-ok"
"fl1001",14,3.10961388960871,12,"Haspel-ok"
"fl1002",2,4.70588235294118,0,"Haspel-ok"
"fl1003",14,2.14947830370337,7,"Haspel-ok"
"fl1004",8,3.05888350751976,3,"Haspel-ok"
"fl1005",15,1.85916802231002,4,"Haspel-ok"
"fl1006",3,6.07287449392713,0,"Haspel-ok"
"fl1007",12,2.20885998281998,6,"Haspel-ok"
"fl1008",11,2.01072386058981,1,"Haspel-ok"
"fl1009",3,6.07287449392713,0,"Haspel-ok"
"fl101",5,9.11854103343465,0,"Haspel-ok"
"fl1010",5,3.38409475465313,4,"Haspel-ok"
"fl1011",12,2.66533399966683,6,"Haspel-ok"
"fl1012",10,2.30739648762979,6,"Haspel-ok"
"fl1013",2,5.20156046814044,0,"Haspel-ok"
"fl1014",7,4.3525571273123,7,"Haspel-ok"
"fl1015",21,2.7871111592834,13,"Haspel-ok"
"fl1016",8,3.51734245236932,5,"Haspel-ok"
"fl1017",8,2.96418279127213,6,"Haspel-ok"
"fl1018",15,3.89948006932409,5,"Haspel-ok"
"fl1019",4,3.42759211653813,1,"Haspel-ok"
"fl102",3,6.07287449392713,0,"Haspel-ok"
"fl1020",8,2.20264317180617,2,"Haspel-ok"
"fl1021",13,1.97618694728521,6,"Haspel-ok"
"fl1022",11,2.79481406723081,7,"Haspel-ok"
"fl1023",15,3.43200343200343,7,"Haspel-ok"
"fl1024",3,4.84261501210654,0,"Haspel-ok"
"fl1025",12,2.91665653938702,8,"Haspel-ok"
"fl1026",13,2.6183722452542,7,"Haspel-ok"
"fl1027",5,3.2,1,"Haspel-ok"
"fl1028",13,2.99906279287723,6,"Haspel-ok"
"fl1029",3,6.5359477124183,1,"Haspel-ok"
"fl103",20,2.43247352151219,8,"Haspel-ok"
"fl1030",7,3.27510917030568,2,"Haspel-ok"
"fl1031",4,3.01091456529921,1,"Haspel-ok"
"fl1032",3,2.9218407596786,0,"Haspel-ok"
"fl1033",10,2.07576543850545,1,"Haspel-ok"
"fl1034",13,2.67916945746819,2,"Haspel-ok"
"fl1035",8,1.65220983064849,2,"Haspel-ok"
"fl1036",17,3.27138897723659,10,"Haspel-ok"
"fl1037",4,4.1914076143905,1,"Haspel-ok"
"fl1038",5,4.4709388971684,0,"Haspel-ok"
"fl1039",13,2.73364086793098,7,"Haspel-ok"
"fl104",1,7.05882352941176,0,"Haspel-ok"
"fl1040",2,4.36046511627907,0,"Haspel-ok"
"fl1041",1,5.21739130434783,0,"Haspel-ok"
"fl1042",22,2.45921796868596,11,"Haspel-ok"
"fl1043",8,1.74216027874564,1,"Haspel-ok"
"fl1044",4,6.13496932515337,0,"Haspel-ok"
"fl1045",8,2.02429149797571,1,"Haspel-ok"
"fl1046",10,2.49584026622296,2,"Haspel-ok"
"fl1047",13,2.73400417695083,8,"Haspel-ok"
"fl1048",4,3.01583312390048,1,"Haspel-ok"
"fl1049",12,2.42501810343376,6,"Haspel-ok"
"fl105",11,2.26372382569327,2,"Haspel-ok"
"fl1050",9,2.82386163078009,4,"Haspel-ok"
"fl1051",12,2.65486725663717,5,"Haspel-ok"
"fl1052",4,4.8780487804878,0,"Haspel-ok"
"fl1053",15,2.04342273307791,4,"Haspel-ok"
"fl1054",15,2.61694471704285,9,"Haspel-ok"
"fl1055",8,3.74181478016838,5,"Haspel-ok"
"fl1056",1,6.66666666666667,0,"Haspel-ok"
"fl1057",13,3.0808729139923,6,"Haspel-ok"
"fl1058",8,3.0060120240481,1,"Haspel-ok"
"fl1059",8,2.16138328530259,3,"Haspel-ok"
"fl106",3,2.19941348973607,0,"Haspel-ok"
"fl1060",16,2.1865889212828,4,"Haspel-ok"
"fl1061",14,3.07120066883926,13,"Haspel-ok"
"fl1062",18,2.70684832626545,10,"Haspel-ok"
"fl1063",4,4.90196078431372,0,"Haspel-ok"
"fl1064",7,3.88663967611336,2,"Haspel-ok"
"fl1065",8,3.1104199066874,2,"Haspel-ok"
"fl1066",16,2.8255061580337,14,"Haspel-ok"
"fl1067",17,2.21545278316256,5,"Haspel-ok"
"fl1068",11,2.85363243628869,8,"Haspel-ok"
"fl1069",7,1.97044334975369,0,"Haspel-ok"
"fl107",13,2.65506305774762,10,"Haspel-ok"
"fl1070",9,2.63881253435954,3,"Haspel-ok"
"fl1071",12,3.19900475407651,4,"Haspel-ok"
"fl1072",4,11.1731843575419,0,"Haspel-ok"
"fl1073",10,3.19985778409848,6,"Haspel-ok"
"fl1074",20,2.51799315945192,13,"Haspel-ok"
"fl1075",13,3.41102899374645,6,"Haspel-ok"
"fl1076",14,2.12882338157681,9,"Haspel-ok"
"fl1077",11,2.74769308268266,9,"Haspel-ok"
"fl1078",13,4.05862457722661,9,"Haspel-ok"
"fl1079",16,2.79671386121308,8,"Haspel-ok"
"fl108",17,3.21485979639221,12,"Haspel-ok"
"fl1080",8,3.64822959524919,7,"Haspel-ok"
"fl1081",5,2.7027027027027,1,"Haspel-ok"
"fl1082",3,8.06451612903226,0,"Haspel-ok"
"fl1083",15,2.97699034545492,6,"Haspel-ok"
"fl1084",15,3.36716082869569,16,"Haspel-ok"
"fl1085",2,5.81395348837209,0,"Haspel-ok"
"fl1086",9,3.39462517680339,1,"Haspel-ok"
"fl1087",3,4,2,"Haspel-ok"
"fl1088",17,2.79972624898899,12,"Haspel-ok"
"fl1089",2,6.95652173913043,0,"Haspel-ok"
"fl109",16,2.38958142498706,8,"Haspel-ok"
"fl1090",11,2.71063925909194,5,"Haspel-ok"
"fl1091",3,3.05810397553517,0,"Haspel-ok"
"fl1092",11,3.115089580458,9,"Haspel-ok"
"fl1093",4,6.13496932515337,0,"Haspel-ok"
"fl1094",12,2.23463687150838,5,"Haspel-ok"
"fl1095",22,3.41812174210271,15,"Haspel-ok"
"fl1096",7,3.3112582781457,4,"Haspel-ok"
"fl1097",5,3.38983050847458,0,"Haspel-ok"
"fl1098",18,2.36701952791111,13,"Haspel-ok"
"fl1099",2,5.20156046814044,0,"Haspel-ok"
"fl11",3,5.37634408602151,0,"Haspel-ok"
"fl110",5,3.60230547550432,5,"Haspel-ok"
"fl1100",2,5.81395348837209,0,"Haspel-ok"
"fl1101",19,2.3141898407066,8,"Haspel-ok"
"fl1102",14,2.77697425513451,5,"Haspel-ok"
"fl1103",9,3.00525920360631,1,"Haspel-ok"
"fl1104",3,4.84261501210654,0,"Haspel-ok"
"fl1105",11,2.80570493336451,9,"Haspel-ok"
"fl1106",14,2.35017626321974,3,"Haspel-ok"
"fl1107",17,3.74590291868269,19,"Haspel-ok"
"fl1108",7,2.41837968561064,2,"Haspel-ok"
"fl1109",2,6.95652173913043,0,"Haspel-ok"
"fl111",16,2.71245695858229,13,"Haspel-ok"
"fl1110",16,2.80413142029256,11,"Haspel-ok"
"fl1111",2,10.2040816326531,0,"Haspel-ok"
"fl1112",6,4.52488687782805,1,"Haspel-ok"
"fl1113",8,2.21361372440509,2,"Haspel-ok"
"fl1114",14,3.4816247582205,14,"Haspel-ok"
"fl1115",20,3.12407796310117,12,"Haspel-ok"
"fl1116",14,3.14919301928881,10,"Haspel-ok"
"fl1117",17,2.44100895036615,6,"Haspel-ok"
"fl1118",2,4.19287211740042,0,"Haspel-ok"
"fl1119",13,2.52246571023175,9,"Haspel-ok"
"fl112",12,3.2078413900646,6,"Haspel-ok"
"fl1120",15,3.14103235263323,9,"Haspel-ok"
"fl1121",21,2.94719607040524,14,"Haspel-ok"
"fl1122",2,4.19287211740042,0,"Haspel-ok"
"fl1123",14,2.41060666934512,6,"Haspel-ok"
"fl1124",14,1.95583082063401,5,"Haspel-ok"
"fl1125",9,3.08602288800309,6,"Haspel-ok"
"fl1126",1,5.44069640914037,0,"Haspel-ok"
"fl1127",3,3.05810397553517,0,"Haspel-ok"
"fl1128",11,2.47524752475248,2,"Haspel-ok"
"fl1129",3,3.05810397553517,0,"Haspel-ok"
"fl113",15,3.00984470037414,8,"Haspel-ok"
"fl1130",2,5.20156046814044,0,"Haspel-ok"
"fl1131",9,3.235228038643,10,"Haspel-ok"
"fl1132",4,2.13371266002845,0,"Haspel-ok"
"fl1133",13,2.14611463829026,5,"Haspel-ok"
"fl1134",12,3.37928218414272,10,"Haspel-ok"
"fl1135",21,2.03270394796278,8,"Haspel-ok"
"fl1136",9,3.6084799278304,8,"Haspel-ok"
"fl1137",7,2.99762687872101,3,"Haspel-ok"
"fl1138",10,3.0060120240481,5,"Haspel-ok"
"fl1139",7,2.97176820208024,1,"Haspel-ok"
"fl114",15,3.3102687294545,10,"Haspel-ok"
"fl1140",20,2.60439274242556,6,"Haspel-ok"
"fl1141",3,4.30292598967298,6,"Haspel-ok"
"fl1142",7,3.67647058823529,1,"Haspel-ok"
"fl1143",13,2.84444444444444,11,"Haspel-ok"
"fl1144",19,2.90192194751206,13,"Haspel-ok"
"fl1145",7,3.21199143468951,1,"Haspel-ok"
"fl1146",22,2.63713080168776,12,"Haspel-ok"
"fl1147",7,3.66300366300366,1,"Haspel-ok"
"fl1148",15,2.59371600250726,9,"Haspel-ok"
