,skflavor,suflavor,nsflavor,npiflavor,fciflavor,nqflavor,LANG,ITEM
2,0,0,0,0,1,0,NA,NA
3,0,0,0,0,0,1,NA,NA
4,0,0,0,0,1,1,NA,NA
5,0,0,0,1,0,0,NA,NA
6,0,0,0,1,1,0,NA,NA
7,0,0,0,1,0,1,NA,NA
8,0,0,0,1,1,1,NA,NA
9,0,0,1,0,0,0,NA,NA
10,0,0,1,0,1,0,NA,NA
11,0,0,1,0,0,1,NA,NA
12,0,0,1,0,1,1,NA,NA
13,0,0,1,1,0,0,NA,NA
14,0,0,1,1,1,0,NA,NA
15,0,0,1,1,0,1,NA,NA
16,0,0,1,1,1,1,NA,NA
17,0,1,0,0,0,0,NA,NA
18,0,1,0,0,1,0,NA,NA
19,0,1,0,0,0,1,NA,NA
20,0,1,0,0,1,1,NA,NA
21,0,1,0,1,0,0,NA,NA
22,0,1,0,1,1,0,NA,NA
23,0,1,0,1,0,1,NA,NA
24,0,1,0,1,1,1,NA,NA
25,0,1,1,0,0,0,NA,NA
26,0,1,1,0,1,0,NA,NA
27,0,1,1,0,0,1,NA,NA
28,0,1,1,0,1,1,NA,NA
29,0,1,1,1,0,0,NA,NA
30,0,1,1,1,1,0,NA,NA
31,0,1,1,1,0,1,NA,NA
32,0,1,1,1,1,1,NA,NA
33,1,0,0,0,0,0,NA,NA
34,1,0,0,0,1,0,NA,NA
35,1,0,0,0,0,1,NA,NA
36,1,0,0,0,1,1,NA,NA
37,1,0,0,1,0,0,NA,NA
38,1,0,0,1,1,0,NA,NA
39,1,0,0,1,0,1,NA,NA
40,1,0,0,1,1,1,NA,NA
41,1,0,1,0,0,0,NA,NA
42,1,0,1,0,1,0,NA,NA
43,1,0,1,0,0,1,NA,NA
44,1,0,1,0,1,1,NA,NA
45,1,0,1,1,0,0,NA,NA
46,1,0,1,1,1,0,NA,NA
47,1,0,1,1,0,1,NA,NA
48,1,0,1,1,1,1,NA,NA
49,1,1,0,0,0,0,NA,NA
50,1,1,0,0,1,0,NA,NA
51,1,1,0,0,0,1,NA,NA
52,1,1,0,0,1,1,NA,NA
53,1,1,0,1,0,0,NA,NA
54,1,1,0,1,1,0,NA,NA
55,1,1,0,1,0,1,NA,NA
56,1,1,0,1,1,1,NA,NA
57,1,1,1,0,0,0,NA,NA
58,1,1,1,0,1,0,NA,NA
59,1,1,1,0,0,1,NA,NA
60,1,1,1,0,1,1,NA,NA
61,1,1,1,1,0,0,NA,NA
62,1,1,1,1,1,0,NA,NA
63,1,1,1,1,0,1,NA,NA
64,1,1,1,1,1,1,NA,NA
