"LANG","ITEM","skflavor","suflavor","nsflavor","npiflavor","fciflavor","nqflavor","type"
"fl1","fl1-1",0,1,0,0,0,0,"artificial"
"fl1","fl1-2",0,1,0,1,0,1,"artificial"
"fl1","fl1-3",1,1,0,0,1,0,"artificial"
"fl1","fl1-4",0,0,1,1,1,0,"artificial"
"fl1","fl1-5",1,0,1,0,0,1,"artificial"
"fl2","fl2-1",0,0,1,1,0,1,"artificial"
"fl2","fl2-2",1,0,1,1,1,1,"artificial"
"fl2","fl2-3",0,1,0,1,0,0,"artificial"
"fl2","fl2-4",1,1,0,0,0,0,"artificial"
"fl2","fl2-5",0,1,1,0,1,1,"artificial"
"fl2","fl2-6",1,1,0,0,0,0,"artificial"
"fl2","fl2-7",1,0,0,1,0,1,"artificial"
"fl3","fl3-1",0,1,0,1,0,1,"artificial"
"fl3","fl3-2",1,1,0,1,1,0,"artificial"
"fl3","fl3-3",1,1,1,0,1,0,"artificial"
"fl4","fl4-1",0,0,1,1,0,0,"artificial"
"fl4","fl4-2",0,1,0,1,0,1,"artificial"
"fl5","fl5-1",0,0,1,0,1,1,"artificial"
"fl5","fl5-2",0,0,0,0,1,1,"artificial"
"fl5","fl5-3",0,1,1,1,0,0,"artificial"
"fl6","fl6-1",0,1,1,0,1,1,"artificial"
"fl7","fl7-1",0,1,0,1,0,0,"artificial"
"fl7","fl7-2",1,0,1,1,1,1,"artificial"
"fl7","fl7-3",1,0,0,0,1,0,"artificial"
"fl7","fl7-4",0,1,0,0,1,1,"artificial"
"fl7","fl7-5",1,1,1,1,0,1,"artificial"
"fl8","fl8-1",0,0,1,1,1,1,"artificial"
"fl9","fl9-1",0,1,0,1,0,0,"artificial"
"fl10","fl10-1",0,0,0,1,1,0,"artificial"
"fl10","fl10-2",1,1,1,0,0,1,"artificial"
"fl10","fl10-3",0,0,1,1,0,0,"artificial"
"fl10","fl10-4",1,1,1,1,0,1,"artificial"
"fl10","fl10-5",1,1,0,0,0,1,"artificial"
"fl10","fl10-6",1,0,0,0,0,1,"artificial"
"fl10","fl10-7",0,1,1,1,1,0,"artificial"
"fl11","fl11-1",1,1,0,0,0,0,"artificial"
"fl11","fl11-2",0,0,1,1,1,0,"artificial"
"fl11","fl11-3",0,1,0,0,0,1,"artificial"
"fl11","fl11-4",0,1,0,0,1,0,"artificial"
"fl11","fl11-5",1,1,1,1,1,1,"artificial"
"fl11","fl11-6",1,0,0,1,1,1,"artificial"
"fl11","fl11-7",0,0,0,0,0,1,"artificial"
"fl12","fl12-1",0,1,0,0,0,0,"artificial"
"fl12","fl12-2",0,1,1,1,0,0,"artificial"
"fl12","fl12-3",1,1,0,0,1,0,"artificial"
"fl13","fl13-1",0,1,0,0,1,1,"artificial"
"fl13","fl13-2",0,1,1,0,1,0,"artificial"
"fl13","fl13-3",0,0,1,1,0,1,"artificial"
"fl14","fl14-1",0,0,1,1,0,1,"artificial"
"fl14","fl14-2",0,0,1,0,1,1,"artificial"
"fl14","fl14-3",0,1,1,1,1,1,"artificial"
"fl14","fl14-4",0,0,0,0,0,1,"artificial"
"fl14","fl14-5",0,0,1,1,1,0,"artificial"
"fl15","fl15-1",1,1,0,1,0,1,"artificial"
"fl15","fl15-2",0,1,1,1,1,1,"artificial"
"fl15","fl15-3",0,1,0,1,1,0,"artificial"
"fl15","fl15-4",1,1,0,1,1,1,"artificial"
"fl15","fl15-5",0,0,0,0,0,1,"artificial"
"fl15","fl15-6",1,1,0,0,1,0,"artificial"
"fl15","fl15-7",0,0,0,0,1,0,"artificial"
"fl16","fl16-1",1,1,1,1,1,1,"artificial"
"fl16","fl16-2",0,1,0,1,1,1,"artificial"
"fl16","fl16-3",1,0,0,0,0,1,"artificial"
"fl16","fl16-4",1,0,1,1,1,0,"artificial"
"fl17","fl17-1",1,0,1,1,1,1,"artificial"
"fl17","fl17-2",0,1,0,1,0,1,"artificial"
"fl17","fl17-3",1,0,1,1,0,1,"artificial"
"fl17","fl17-4",0,0,1,0,1,1,"artificial"
"fl18","fl18-1",1,1,0,1,0,1,"artificial"
"fl18","fl18-2",0,1,1,1,0,1,"artificial"
"fl18","fl18-3",1,0,0,0,1,1,"artificial"
"fl18","fl18-4",1,0,0,1,1,0,"artificial"
"fl18","fl18-5",1,0,1,0,0,0,"artificial"
"fl19","fl19-1",1,1,1,0,0,1,"artificial"
"fl19","fl19-2",1,0,0,1,1,1,"artificial"
"fl19","fl19-3",1,1,1,0,1,1,"artificial"
"fl19","fl19-4",1,1,1,0,0,0,"artificial"
"fl19","fl19-5",1,0,1,0,1,0,"artificial"
"fl19","fl19-6",0,0,1,0,0,0,"artificial"
"fl20","fl20-1",0,0,1,0,1,0,"artificial"
"fl21","fl21-1",1,1,0,0,0,1,"artificial"
"fl22","fl22-1",1,0,0,0,1,1,"artificial"
"fl22","fl22-2",0,1,1,1,1,1,"artificial"
"fl22","fl22-3",0,1,0,0,1,1,"artificial"
"fl22","fl22-4",0,1,0,1,0,0,"artificial"
"fl23","fl23-1",1,0,1,0,1,1,"artificial"
"fl24","fl24-1",0,1,1,0,0,1,"artificial"
"fl24","fl24-2",0,1,0,0,1,0,"artificial"
"fl24","fl24-3",1,1,1,0,1,0,"artificial"
"fl25","fl25-1",0,0,0,0,0,1,"artificial"
"fl25","fl25-2",1,0,0,0,0,0,"artificial"
"fl26","fl26-1",0,1,0,0,1,0,"artificial"
"fl26","fl26-2",1,1,1,0,0,0,"artificial"
"fl27","fl27-1",1,1,0,1,0,0,"artificial"
"fl27","fl27-2",1,1,1,0,1,0,"artificial"
"fl27","fl27-3",0,1,0,0,0,1,"artificial"
"fl27","fl27-4",1,0,0,1,0,1,"artificial"
"fl28","fl28-1",1,1,1,0,1,0,"artificial"
