"","LANG","ITEM","spec.know","spec.unkn","irr.nonsp","question","condit","indir.neg","dir.neg","compar","free.ch","neg.frag","Haspelmath","type"
"177","fl1","fl1-1",0,0,0,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"441","fl1","fl1-2",0,0,0,1,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"749","fl1","fl1-3",0,0,1,1,0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"175","fl1","fl1-4",0,1,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"493","fl1","fl1-5",0,0,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"57","fl1","fl1-6",0,0,0,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"580","fl2","fl2-1",1,1,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"183","fl2","fl2-2",0,1,1,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"637","fl2","fl2-3",0,0,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"66","fl2","fl2-4",1,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"1013","fl2","fl2-5",0,0,1,0,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"757","fl2","fl2-6",0,0,1,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"1771","fl2","fl2-7",0,0,0,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"127","fl3","fl3-1",0,1,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"325","fl3","fl3-2",0,0,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"1023","fl3","fl3-3",0,1,1,1,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"65","fl3","fl3-4",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"1015","fl3","fl3-5",0,1,1,0,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"2","fl3","fl3-6",1,0,0,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"58","fl3","fl3-7",1,0,0,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"4931","fl4","fl4-1",0,0,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"511","fl4","fl4-2",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"239","fl4","fl4-3",0,1,1,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"439","fl4","fl4-4",0,1,1,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"584","fl4","fl4-5",1,1,1,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"6371","fl5","fl5-1",0,0,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"1831","fl6","fl6-1",0,1,1,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
