LANG,complexityoflanguages,costoflanguages,new_col
lang1397gen1mutoff93gen2mutoff7,6,1.352112676056339,"(1.352112676056339, 6)"
lang1669gen1mutoff3gen2mutoff4,6,1.352112676056339,"(1.352112676056339, 6)"
lang1669gen1mutoff3gen2mutoff4gen3mutoff4,6,1.352112676056339,"(1.352112676056339, 6)"
lang384gen1mutoff57gen2mutoff23gen3mutoff5gen8rcoff338gen9rcoff213,4,1.895360315893387,"(1.895360315893387, 4)"
fl1073,1,4.77326968973747,"(4.77326968973747, 1)"
fl1379,1,4.77326968973747,"(4.77326968973747, 1)"
fl143,1,4.77326968973747,"(4.77326968973747, 1)"
fl1711,1,4.77326968973747,"(4.77326968973747, 1)"
fl1722,1,4.77326968973747,"(4.77326968973747, 1)"
fl2080,1,4.77326968973747,"(4.77326968973747, 1)"
fl2299,1,4.77326968973747,"(4.77326968973747, 1)"
fl2671,1,4.77326968973747,"(4.77326968973747, 1)"
fl2676,1,4.77326968973747,"(4.77326968973747, 1)"
fl2892,1,4.77326968973747,"(4.77326968973747, 1)"
fl3125,5,1.69491525423729,"(1.69491525423729, 5)"
fl3213,1,4.77326968973747,"(4.77326968973747, 1)"
fl3516,1,4.77326968973747,"(4.77326968973747, 1)"
fl3537,1,4.77326968973747,"(4.77326968973747, 1)"
fl3849,1,4.77326968973747,"(4.77326968973747, 1)"
fl4249,1,4.77326968973747,"(4.77326968973747, 1)"
fl6285,1,4.77326968973747,"(4.77326968973747, 1)"
fl6530,1,4.77326968973747,"(4.77326968973747, 1)"
fl6678,2,3.0,"(3.0, 2)"
fl6789,1,4.77326968973747,"(4.77326968973747, 1)"
fl6828,1,4.77326968973747,"(4.77326968973747, 1)"
fl6940,1,4.77326968973747,"(4.77326968973747, 1)"
fl6990,1,4.77326968973747,"(4.77326968973747, 1)"
fl6992,1,4.77326968973747,"(4.77326968973747, 1)"
fl71,1,4.77326968973747,"(4.77326968973747, 1)"
fl739,1,4.77326968973747,"(4.77326968973747, 1)"
fl7564,1,4.77326968973747,"(4.77326968973747, 1)"
fl7599,1,4.77326968973747,"(4.77326968973747, 1)"
fl7682,1,4.77326968973747,"(4.77326968973747, 1)"
fl7852,1,4.77326968973747,"(4.77326968973747, 1)"
fl8,1,4.77326968973747,"(4.77326968973747, 1)"
fl8105,5,1.69491525423729,"(1.69491525423729, 5)"
fl850,1,4.77326968973747,"(4.77326968973747, 1)"
fl8756,1,4.77326968973747,"(4.77326968973747, 1)"
fl9164,1,4.77326968973747,"(4.77326968973747, 1)"
fl9238,1,4.77326968973747,"(4.77326968973747, 1)"
fl9373,1,4.77326968973747,"(4.77326968973747, 1)"
fl9455,1,4.77326968973747,"(4.77326968973747, 1)"
fl9605,1,4.77326968973747,"(4.77326968973747, 1)"
fl976,1,4.77326968973747,"(4.77326968973747, 1)"
fl9777,1,4.77326968973747,"(4.77326968973747, 1)"
fl9850,1,4.77326968973747,"(4.77326968973747, 1)"
fl9948,1,4.77326968973747,"(4.77326968973747, 1)"
LATIN,11,1.20772946859903,"(1.20772946859903, 11)"
MALTESE,3,2.63042525208242,"(2.63042525208242, 3)"
PERSIAN,3,2.63042525208242,"(2.63042525208242, 3)"
