"LANG","complexityoflanguages","costoflanguages","syn_index","type"
"BASQUE",7,1.69635284139101,0,"natural"
"BULGARIAN",5,2.33009708737864,1,"natural"
"CATALAN",5,2.09132101777623,0,"natural"
"CHINESE",6,1.4903129657228,0,"natural"
"DUTCH",4,2.30769230769231,1,"natural"
"ENGLISH",4,1.98347107438017,0,"natural"
"FINNISH",7,1.6750418760469,0,"natural"
"FRENCH",7,2.20426157237325,2,"natural"
"GEORGIAN",9,2.21729490022173,1,"natural"
"GERMAN",4,2.60699543775798,2,"natural"
"GREEK",7,2.89855072463768,1,"natural"
"HAUSA",3,2.82352941176471,0,"natural"
"HEBREW",6,2.16489265740574,1,"natural"
"HINDI",3,3.52941176470588,1,"natural"
"HUNGARIAN",4,1.98347107438017,0,"natural"
"ICELAND",10,1.3953488372093,1,"natural"
"IRISH",4,2.71186440677966,2,"natural"
"ITALIAN",5,2.09132101777623,0,"natural"
"JAPANESE",5,2.09132101777623,0,"natural"
"KANNADA",6,1.79694519317161,0,"natural"
"KAZAKH",5,1.93174500965873,2,"natural"
"KOREAN",5,2.09132101777623,0,"natural"
"LATIN",11,1.20772946859903,1,"natural"
"LATVIAN",4,1.98347107438017,0,"natural"
"LEZGIAN",5,2.09132101777623,0,"natural"
"LITHUANIAN",11,1.50489089541008,1,"natural"
"MALTESE",3,2.63042525208242,0,"natural"
"NANAY",7,2.34925606891151,0,"natural"
"OSSETIC",6,1.68918918918919,0,"natural"
"PERSIAN",3,2.63042525208242,0,"natural"
"POLISH",4,1.98347107438017,0,"natural"
"PORTUG",5,2.86157147967092,3,"natural"
"QUECHUA",3,3.22234156820623,0,"natural"
"ROMANIAN",5,2.09132101777623,0,"natural"
"RUSSIAN",16,1.26568927328341,3,"natural"
"SERBIAN",7,1.70672735030579,1,"natural"
"SWAHILI",3,2.82352941176471,0,"natural"
"SWEDISH",7,2.29357798165138,0,"natural"
"TURKISH",5,2.59347309271666,2,"natural"
"YAKUT",6,1.75953079178886,1,"natural"
"fl1000",6,2.90135396518375,0,"artificial"
"fl10000",2,10.2040816326531,0,"artificial"
"fl1004",3,4.84261501210654,0,"artificial"
"fl1012",4,5.31914893617021,0,"artificial"
"fl1019",4,2.43664717348928,0,"artificial"
"fl102",2,5.81395348837209,0,"artificial"
"fl1024",3,5.81395348837209,0,"artificial"
"fl1030",3,4.84261501210654,0,"artificial"
"fl104",5,4.8721071863581,0,"artificial"
"fl1041",3,5.92885375494071,0,"artificial"
"fl1044",8,2.9747149231532,0,"artificial"
"fl1056",5,6.78733031674208,0,"artificial"
"fl1057",2,5.81395348837209,0,"artificial"
"fl1063",6,2.31660231660232,0,"artificial"
"fl1066",4,2.60078023407022,0,"artificial"
"fl1073",1,4.77326968973747,0,"artificial"
"fl1083",5,4.8721071863581,0,"artificial"
"fl1116",5,5.87084148727984,0,"artificial"
"fl1129",3,11.1731843575419,0,"artificial"
"fl1158",5,3.19488817891374,0,"artificial"
"fl1167",4,5.31914893617021,0,"artificial"
"fl1174",6,3.97877984084881,0,"artificial"
"fl1176",8,2.10526315789474,0,"artificial"
"fl1179",7,3.37837837837838,0,"artificial"
"fl1200",2,6.7842605156038,0,"artificial"
"fl1203",2,6.7842605156038,0,"artificial"
"fl1214",5,6.78733031674208,0,"artificial"
"fl1230",2,6,0,"artificial"
"fl1231",3,6.25978090766823,0,"artificial"
"fl1234",4,4.05405405405405,0,"artificial"
"fl1246",8,2.01072386058981,0,"artificial"
"fl1247",2,4.70588235294118,0,"artificial"
"fl1249",4,4.90196078431372,0,"artificial"
"fl1255",2,6.7842605156038,0,"artificial"
"fl126",3,6.09756097560976,0,"artificial"
"fl1260",4,4.05405405405405,0,"artificial"
"fl1270",5,6.78733031674208,0,"artificial"
"fl1271",2,12.3456790123457,0,"artificial"
"fl1283",2,3.42857142857143,0,"artificial"
"fl1310",4,6.78733031674208,0,"artificial"
"fl1321",3,5.92885375494071,0,"artificial"
"fl1332",3,6.09756097560976,0,"artificial"
"fl1346",6,6.75675675675676,0,"artificial"
"fl1350",2,3.80228136882129,0,"artificial"
"fl1361",6,6.75675675675676,0,"artificial"
"fl1366",3,3.05810397553517,0,"artificial"
"fl1385",4,11.1731843575419,0,"artificial"
"fl1389",5,9.11854103343465,0,"artificial"
"fl1396",6,6.75675675675676,0,"artificial"
"fl141",1,5.21739130434783,0,"artificial"
"fl1426",3,8.65800865800866,0,"artificial"
"fl143",1,4.77326968973747,0,"artificial"
"fl1433",3,11.1731843575419,0,"artificial"
"fl1435",5,4.90196078431372,0,"artificial"
"fl1436",2,4.19287211740042,0,"artificial"
"fl1441",5,3.38983050847458,0,"artificial"
"fl1443",3,5.20156046814044,0,"artificial"
"fl1448",3,6.81431005110733,0,"artificial"
"fl1458",5,4.90196078431372,0,"artificial"
"fl1464",5,6.75675675675676,0,"artificial"
"fl1480",2,8.65800865800866,0,"artificial"
"fl1489",3,11.5384615384615,0,"artificial"
"fl149",5,3.74531835205992,0,"artificial"
"fl1493",3,6.07287449392713,0,"artificial"
"fl1519",3,3.05810397553517,0,"artificial"
"fl1526",3,7.64818355640535,0,"artificial"
"fl1532",3,3.05810397553517,0,"artificial"
"fl1540",4,6.13496932515337,0,"artificial"
"fl1554",2,4.70588235294118,0,"artificial"
"fl1556",7,3.31125827814569,0,"artificial"
"fl1569",5,3.95256916996047,0,"artificial"
"fl1570",1,5.21739130434783,0,"artificial"
"fl1580",4,5.37634408602151,0,"artificial"
